Model code,Brand,Revenue (EUR),Revenue Change (%),Revenue Change (EUR),Units,Units Change (%),Units Change,Price (EUR),Price Change (%),Price Change (EUR),Price index,Price index Change,Act. Num. Dist.,Act. Num. Dist. Change (pp),TPR units,TPR units Change (%),TPR units Change
GQ75Q900R,SONY,26909.77,,,22,,,1208.62,,,169,,0.005,,,,
TECHNIVISION HD32A MOBIL,TOSHIBA,26786.71,-0.463,-23080.2,70,-0.51,-73,383.19,0.095,33.39,53,7,0.01,-1,31,-0.667,-63
DVL-2483,SAMSUNG,26629.59,0.782,11682.56,81,0.92,39,327.59,-0.072,-25.49,46,-1,0.016,1.3,41,8.38,36
SMART 22 XT,PHILIPS,26411,-0.099,-2908.6,32,-0.096,-3,825.34,-0.003,-2.89,115,6,0,0,0,,
50NANO819QA,PHILIPS,26341,0.149,3409.4,78,0.178,12,337.71,-0.025,-8.69,47,2,0,0,0,,
32LK3C64,PHILIPS,26267.88,0.309,6202,63,0.311,15,415.63,-0.002,-0.67,58,3,0.001,0,0,,
XF43AN660S,SONY,26113.28,-0.122,-3645.23,12,-0.123,-2,2238.66,0,0.94,312,18,0.002,0,7,-0.248,-2
TX-65LXW704,PHILIPS,26017,0.097,2304.95,40,0.108,4,650.42,-0.01,-6.42,91,4,0,0,0,,
55QLED870,TOSHIBA,25984.8,1.525,15695.8,65,1.508,39,398.54,0.007,2.81,56,4,0.001,0.1,65,,
C1620FS,SONY,25950.25,0.195,4232.58,31,0.103,3,834.47,0.083,64.28,116,15,0.005,-0.4,,,
50PUS8107,PHILIPS,25923.05,-0.377,-15660.31,46,-0.395,-30,563.54,0.03,16.4,79,7,0.006,0.1,,,
KD-75X80L,LG,25852.09,0.945,12561.11,20,1.222,11,1292.6,-0.125,-184.17,180,-14,0.002,0.1,,,
75A7HQ,LG,25824.96,-0.219,-7232.27,10,-0.212,-3,2597.3,-0.009,-22.98,362,18,0.002,0,9,-0.291,-4
XR-55A80K,PHILIPS,25566.8,-0.212,-6884.23,115,-0.213,-31,222.32,0.002,0.36,31,2,0,0,0,,
GQ65Q72C,PANASONIC,25368.99,0.582,9333.18,20,0.684,8,1297.16,-0.061,-83.71,181,-1,0.003,0.1,10,,
WEGAVISION UHD50B1,METZ,25340.98,3.914,20183.7,105,4.61,86,241.57,-0.124,-34.22,34,-3,0.008,0.6,,,
